MS;NUTS 1;NUTS 2;MS.Name;Region.Name;NUTS.Description;CCI
BE;BE1;;Belgium;Brussels Capital Region;RÉGION DE BRUXELLES-CAPITALE / BRUSSELS HOOFDSTEDELIJK GEWEST;2014BE16RFOP001
BE;BE2;;Belgium;Flanders;VLAAMS GEWEST;2014BE16RFOP002
BE;BE3;;Belgium;Wallonia;RÉGION WALLONNE;2014BE16RFOP003
BG;;;Bulgaria;;;2014BG16RFOP001
CZ;CZ0;CZ01;Czech Republic;Prague;Praha;2014CZ16M2OP001
HU;;;Hungary;;;2014HU16M2OP001
DE;DE9;;Germany;Niedersachsen;NIEDERSACHSEN;2014DE16M2OP001
DE;DE1;;Germany;Baden-Württemberg;BADEN-WÜRTTEMBERG;2014DE16RFOP001
DE;DE2;;Germany;Bayern;BAYERN;2014DE16RFOP002
DE;DE3;;Germany;Berlin;BERLIN;2014DE16RFOP003
DE;DE4;;Germany;Brandenburg;BRANDENBURG;2014DE16RFOP004
DE;DE5;;Germany;Bremen;BREMEN;2014DE16RFOP005
DE;DE6;;Germany;Hamburg ;HAMBURG;2014DE16RFOP006
DE;DE7;;Germany;Hessen ;HESSEN;2014DE16RFOP007
DE;DE8;;Germany;Mecklenburg-Vorpommern ;MECKLENBURG-VORPOMMERN;2014DE16RFOP008
DE;DEA;;Germany;Nordrhein-Westfalen;NORDRHEIN-WESTFALEN;2014DE16RFOP009
DE;DEB;;Germany;Rheinland-Pfalz;RHEINLAND-PFALZ;2014DE16RFOP010
DE;DEC;;Germany;Saarland ;SAARLAND;2014DE16RFOP011
DE;DED;;Germany;Sachsen;SACHSEN;2014DE16RFOP012
DE;DEE;;Germany;Sachsen-Anhalt;SACHSEN-ANHALT;2014DE16RFOP013
DE;DEF;;Germany;Schleswig-Holstein;SCHLESWIG-HOLSTEIN;2014DE16RFOP014
DE;DEG;;Germany;Thüringen;THÜRINGEN;2014DE16RFOP015
FR;FRA;FRA5;France;Mayotte;Mayotte;2014FR16M2OP012
FR;FR5;FR53;France;Poitou-Charentes;Poitou-Charentes;2014FR16M2OP009
TC;;;Territorial co-operation;;;2014TC16RFCB015
FR;;;France;;;2014FR05M2OP001
FR;;;France;;;2014FR16RFOP004
FI;FI2;;Finland;Åland;ÅLAND;2014FI05M2OP001
FR;FR1;FR10;France;Île-de-France et Seine;Île de France;2014FR05M0OP001
FR;FR6;FR61;France;Aquitaine;Aquitaine;2014FR16M0OP001
FR;FR7;FR72;France;Auvergne;Auvergne;2014FR16M0OP002
FR;FR2;FR24;France;Centre;Centre;2014FR16M0OP003
FR;FR2;FR21;France;Champagne-Ardenne;Champagne-Ardenne;2014FR16M0OP004
FR;FR2;FR23;France;Haute-Normandie;Haute-Normandie;2014FR16M0OP005
FR;FR8;FR81;France;Languedoc-Roussillon;Languedoc-Roussillon;2014FR16M0OP006
FR;FR6;FR62;France;Midi-Pyrénées et Garonne;Midi-Pyrénées;2014FR16M0OP007
FR;FR2;FR22;France;Picardie;Picardie;2014FR16M0OP008
FR;FRA;FRA1;France;Guadeloupe;Guadeloupe;2014FR16M0OP009
FR;FRA;FRA2;France;Martinique;Martinique;2014FR16M0OP011
FR;FR3;FR30;France;Nord-Pas de Calais;Nord - Pas-de-Calais;2014FR16M0OP012
FR;FR8;FR82;France;Provence-Alpes-Côte d'Azur;Provence-Alpes-Côte d'Azur;2014FR16M0OP013
FR;FR2;FR25;France;Basse-Normandie;Basse-Normandie;2014FR16M2OP001
FR;FR5;FR52;France;Bretagne;Bretagne;2014FR16M2OP003
FR;FR4;FR43;France;Franche-Comté et Jura;Franche-Comté;2014FR16M2OP005
FR;FR8;FR83;France;Corse;Corse;2014FR16M2OP004
FR;FR6;FR63;France;Limousin;Limousin;2014FR16M2OP006
FR;FR5;FR51;France;Pays de la Loire;Pays de la Loire;2014FR16M2OP008
FR;FR7;FR71;France;Rhône-Alpes;Rhône-Alpes;2014FR16M2OP010
FR;FRA;FRA3;France;Guyane;Guyane;2014FR16M2OP011
FR;;;France;;;2014FR16RFOP001
FR;;;France;;;2014FR16RFOP002
FR;;;France;;;2014FR16RFOP003
FR;;;France;;;2014FR16RFOP005
FR;FR4;FR42;France;Interregional Alsace;Alsace;2014FR16RFOP006
