Country,OP CCI,CCI Short Title,OP ver,OP Status,Priority Code ,Thematic Objective Code,Thematic Objective Description,OP MP Title,MP CCI,MP ver,MP CCI Title (English),MP Status,MP Status Code,MP Article,Eligible Amount,EU Financing,ERDF Amount,CF Amount,is_submitted,thematic_objective_short_name
BG,2014BG16M1OP001,Transport and transport infrastructure - ERDF/CF,2.2,Adopted by EC,2,7,Promoting sustainable transport and removing bottlenecks ...,"АМ „Струма”, лот 3.2",,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
BG,2014BG16M1OP002,Environment - ERDF/CF,4,Adopted by MS,2,6,Preserving and protecting the environment and promoting ...,Трета фаза на интегрирана система от съоръжения за третиране на битовите отпадъци на Столична община - инсталация за комбинирано производство на енергия с оползотворяване на RDF ,,,,,---,,,,,,not submitted,Environment Protection & Resource Efficiency
BG,2014BG16RFOP001,Regions in Growth - ERDF,3,Adopted by EC,1,4,Supporting the shift towards a low-carbon economy in all ..., Интегриран Столичен градски транспорт – Фаза ІІ ,,,,,---,,,,,,not submitted,Low-Carbon Economy
BG,2014BG16RFOP001,Regions in Growth - ERDF,3,Adopted by EC,4,9,Promoting social inclusion and combating poverty,Подобряване на системата за спешна медицинска помощ,,,,,---,,,,,,not submitted,Social Inclusion
CY,2014CY16M1OP001,Competitiveness and sustainable development - ERDF/CF,3.1,Adopted by MS,4Α,6,Preserving and protecting the environment and promoting ...,"Αποχετευτικό Σύστημα Κοκκινοχωρίων, Β΄ Φάση",,,,,---,,,,,,not submitted,Environment Protection & Resource Efficiency
CY,2014CY16M1OP001,Competitiveness and sustainable development - ERDF/CF,3.1,Adopted by MS,5,7,Promoting sustainable transport and removing bottlenecks ...,"Δρόμος που συνδέει το Λιμάνι Λεμεσού με τον αυτοκινητόδρομο Λεμεσού-Πάφου, Β΄ Φάση",,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,Elektrizace a modernizace trati Olomouc - Uničov,,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,Elektrizace tratě vč. PEÚ Brno - Zastávka u Brna,,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,Modernizace a elektrizace tratě Kojetín - Hulín - Holešov,,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,2,7,Promoting sustainable transport and removing bottlenecks ...,D1 Přerov – Lipník nad Bečvou,,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,Modernizace a elektrizace trati Otrokovice - Vizovice,,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,Modernizace a novostavba trati Praha-Veleslavín (včetně) - Praha-Letiště Václava Havla (včetně),,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,"Modernizace tratě Brno - Přerov, I. etapa Blažovice - Nezamyslice",,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,"Modernizace tratě Brno - Přerov, II.etapa Nezamyslice - Přerov",,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,"Modernizace tratě Veselí n.L.-Tábor-II. část úsek Veselí n.L.-Doubí u Tábora, 2. etapa Soběslav - Doubí",,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,Modernizace trati Nemanice I  - Ševětín ,,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,Modernizace trati Plzeň – Domažlice – st. hranice,,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,"Modernizace trati Plzeň – Domažlice – st. Hranice, 1.stavba, nová trať Plzeň(mimo) – Stod (včetně)",,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,Adopted by EC,1,7,Promoting sustainable transport and removing bottlenecks ...,"Modernizace trati Plzeň – Domažlice – st. hranice, 3.stavba, úsek Stod (mimo) – Domažlice( včetně)",,,,,---,,,,,,not submitted,Network Infrastructures in Transport and Energy
