MS,MS Name,CCI,Ver,Programme Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,465519898,155173299.31,620693197.31,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5E,Carbon conservation / sequestration,7700000,6828301.89,14528301.89,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P5,04,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5E,Carbon conservation / sequestration,2800000,2483018.87,5283018.87,53
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,9,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Less developed,VOID,VOID,VOID,VOID,112182520,37394173,149576693,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,05,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,31660651,10553550.33,42214201.33,75
IT,Italy,2014IT16RFOP007,4,Campania - ERDF,ERDF,2,02,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),Less developed,VOID,VOID,VOID,VOID,243812750,81270917,325083667,75
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,6983411.34,6192836.47,13176247.81,53
PL,Poland,2014PL16M2OP008,3.1,Opolskie Voivodeship - ERDF/ESF,ERDF,X,09,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Less developed,VOID,VOID,VOID,VOID,76571726,13512658,90084384,85
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P5,01,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5E,Carbon conservation / sequestration,1500000,1330188.68,2830188.68,53
FR,France,2014FR06RDRP073,10,Midi-Pyrénées - Rural Development,EAFRD,P4,06,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,31660651,10553550.33,42214201.33,75
